Front	Back
Module 1 — Analytics	"Definition (plain): Analytics is using data to answer questions and make better choices.

Definition (formal): Analytics is the use of data, models, and computation to support better decisions and understanding.

Support:
- I'm Joel Sokol, Director of the Master of Science in Analytics degree at Georgia Tech and a professor in Georgia Tech's Stewart School of ISYE.
- In my research and consulting, I've used analytics in a lot of different ways to help a lot of different people.
- In almost all of that work, a critical key to success has been analytics modeling."
Module 1 — Descriptive analytics	"Definition (plain): Descriptive analytics tells you what happened.

Definition (formal): Descriptive analytics summarizes what happened using reporting, aggregation, and visualization."
Module 1 — Predictive analytics	"Definition (plain): Predictive analytics predicts what will happen.

Definition (formal): Predictive analytics uses historical data to estimate or forecast unknown outcomes.

Support:
- Analytics can also answer predictive questions, questions that ask what's going to happen in the future."
Module 1 — Prescriptive analytics	"Definition (plain): Prescriptive analytics tells you what to do to get the best result.

Definition (formal): Prescriptive analytics recommends actions by optimizing objectives under constraints.

Support:
- On the left is a stream of models, lots of different mathematical approaches to solving analytics problems, machine learning, regression, optimization, and many others sprinkled with examples and situations where they're each valuable."
Module 1 — Supervised learning	"Definition (plain): You learn from examples where the right answer is already known.

Definition (formal): Supervised learning learns a mapping from inputs (features) to known outputs (labels) using labeled examples."
Module 1 — Unsupervised learning	"Definition (plain): You find patterns without being told the right answers.

Definition (formal): Unsupervised learning finds structure in data without labeled outcomes (e.g., clustering)."
Module 2 — Classification	"Definition (plain): Classification is sorting things into categories based on their measurements.

Definition (formal): Classification is the task of assigning an input to one of a fixed set of categories using its features.

Support:
- in later lessons, we'll see a basic model for solving classification problems.
- Classification and analytics has the same meaning as it does in everyday life putting things into categories.
- The simplest examples of classification are when there are two categories, which are often just yes and no."
Module 2 — Classifier	"Definition (plain): A classifier is the rule the computer uses to pick a category.

Definition (formal): A classifier is a model or rule that maps feature vectors to class labels.

Support:
- The lower classifier would suggest that we give this applicant a loan, while the higher classifier would suggest that we deny the loan application.
- we need what's called a soft classifier, one that gives us good as separation as possible rather than a hard classifier that separates perfectly.
- Here's a classifier that minimizes the number of incorrectly classified points."
Module 2 — Binary classification	"Definition (plain): Binary classification is a yes/no (two-choice) classification.

Definition (formal): Binary classification predicts one of two possible class labels.

Support:
- finally, you might be wondering whether there are other approaches for classification, especially when there are more than two classes.
- This works easily not just for two classes, but also for more."
Module 2 — Multiclass classification	"Definition (plain): Multiclass classification chooses among 3+ categories.

Definition (formal): Multiclass classification predicts one of three or more class labels."
